source,target,value
124784,114904,1
124784,109684,1
124784,131511,1
103392,102137,1
121518,126758,1
121518,111107,1
121518,108409,1
121518,126048,1
121518,117456,1
121518,113262,1
123831,124680,1
123831,107376,1
123831,109996,1
101907,116178,1
101907,106378,1
127929,115714,1
117033,118539,1
117033,131750,1
100401,118368,1
125963,124418,1
125963,102152,1
125963,105810,1
125963,102841,1
125963,131667,1
127823,113771,1
127823,125817,1
126275,121640,1
130185,104722,1
119382,106532,1
100833,104377,1
100833,113822,1
100833,110362,1
112758,127071,1
112758,113092,1
112451,130022,1
121456,117276,1
121456,118015,1
121456,105892,1
126459,102783,1
102457,107875,1
125760,100036,1
125760,118217,1
100950,102543,1
120502,104405,1
113606,105280,1
126758,101341,1
126758,111107,1
126758,108409,1
126758,126048,1
126758,111577,1
126758,119195,1
126758,103073,1
100415,117458,1
101279,111660,1
101279,101542,1
132189,103786,1
102605,104393,1
102605,116617,1
102605,119470,1
128007,115089,1
100036,118217,1
129263,105128,1
127496,104088,1
127496,112566,1
127496,117117,1
113130,102408,1
113130,103424,1
113130,127159,1
113130,115027,1
113130,129859,1
113130,102666,1
113130,105242,1
130667,118151,1
106920,115133,1
112403,104082,1
112403,106250,1
126742,104876,1
126742,116190,1
126742,129012,1
127652,109831,1
127652,126564,1
127652,123571,1
127652,120475,1
113954,113092,1
111660,101542,1
117575,128659,1
101637,124506,1
101637,116526,1
132350,121254,1
132350,132324,1
132350,100203,1
117090,107770,1
118354,128766,1
118354,115527,1
118354,107540,1
119474,123092,1
119474,105725,1
119474,125892,1
119474,111309,1
127294,110487,1
