id,value
129582,4
114124,4
103203,4
104680,4
122330,3
123598,1
118096,1
119519,1
127253,10
120894,10
127245,2
110940,2
120632,2
110370,1
129697,2
117206,2
126577,3
104436,10
123903,10
131221,12
129774,10
128941,1
121360,2
126360,2
115044,3
118645,1
106516,1
102603,4
103902,3
114742,2
115915,5
125858,1
130224,1
126030,5
111912,5
106558,6
129721,5
113051,1
110027,1
132352,2
114981,2
100065,1
100348,4
119324,3
121782,3
102145,1
120223,3
115137,3
121355,9
128975,3
104970,3
107881,3
125118,2
117139,2
121619,3
112866,1
130643,2
120581,1
121697,2
121895,3
105197,2
105605,2
131400,1
120089,1
126931,2
119927,3
121831,2
107831,7
119083,2
104734,2
100921,3
124518,7
118794,3
127485,1
123627,2
108672,1
106100,1
115777,2
112527,1
111335,3
104113,3
102839,3
112776,3
121770,4
104090,1
104575,4
108653,6
100715,1
131474,3
116962,3
124966,4
117361,7
127104,2
122409,4
103101,2
129882,1
123370,1
118510,3
101968,3
120289,1
101466,4
111618,1
107934,4
126375,2
128820,2
104144,2
102076,2
112560,4
112869,1
103150,1
109847,3
112052,1
118371,2
117052,6
113117,1
121240,2
117294,2
114856,1
125896,4
131917,6
111277,1
103877,1
117208,1
127238,1
112732,2
100582,5
125110,4
123584,1
110739,1
119153,10
104468,1
123264,5
128861,3
121190,1
105254,1
116500,1
101528,6
111110,3
129000,2
128656,1
104362,1
108005,1
104994,5
103376,1
118554,4
129758,7
132023,1
131935,2
117484,1
121651,3
113364,3
122072,1
102885,5
124419,2
112539,1
120278,1
104520,3
108046,2
118506,1
112025,3
101891,2
120211,2
100056,3
101868,1
119131,6
114991,2
112592,2
132239,1
113787,1
124784,6
103392,1
121518,7
123831,3
101907,2
127929,2
117033,3
100401,1
125963,5
127823,2
126275,1
130185,1
119382,1
100833,3
112758,3
112451,1
121456,3
126459,1
102457,1
125760,3
100950,1
120502,1
113606,1
126758,8
100415,1
101279,3
132189,1
102605,3
128007,1
100036,3
129263,1
127496,4
113130,11
130667,1
106920,1
112403,2
126742,4
127652,5
113954,2
111660,3
117575,4
101637,2
132350,4
117090,2
118354,3
119474,5
127294,1
111169,0
120186,0
124418,1
115380,0
129929,1
119697,0
124680,1
121646,1
112064,2
108523,1
109831,2
128170,0
110052,0
128747,0
119152,0
100732,0
109573,0
119807,0
122081,0
123092,2
111146,0
116301,0
113377,0
104549,0
110646,0
100502,1
115820,0
106922,0
115126,0
100642,0
119760,1
104393,1
102869,1
116011,0
102413,0
128748,0
122905,0
107980,2
130507,0
123907,0
104377,1
111325,0
100451,1
126564,2
102152,1
132151,1
115651,0
116617,1
114569,1
105725,2
127799,1
115240,1
114131,1
116519,1
124252,1
127069,0
122140,0
112717,0
104426,0
123110,2
123004,2
127221,0
124573,0
107771,2
125599,2
114923,2
120154,0
121061,0
122470,1
118650,3
111107,2
102408,4
121086,0
108409,2
106202,0
120463,0
120636,1
119803,0
132104,1
116997,0
104088,2
131845,0
118539,2
105894,1
121254,2
109916,1
115028,0
121171,1
107250,3
117276,1
107977,0
102630,0
116314,1
109325,0
107994,0
129525,0
114772,0
118782,0
128083,0
117255,0
123966,2
109923,0
116016,0
102659,0
101035,0
121077,0
119281,0
127039,0
107376,1
103424,4
104116,0
132022,0
111101,0
129756,1
113236,0
102273,0
101840,0
123006,2
124901,0
106543,0
112255,1
131743,0
121737,0
114904,3
103404,0
102642,4
127096,1
127159,2
116419,0
100372,2
110487,1
124506,1
104876,2
110063,0
129091,0
110942,0
127315,1
100431,0
106707,0
115027,2
105068,2
125892,2
124176,1
111191,2
100816,0
116104,0
106908,0
129466,0
100013,0
120162,7
100112,0
111344,0
118015,1
113822,1
127071,2
117456,2
100011,0
114494,0
121863,0
119720,0
122653,1
112566,2
104082,1
102710,1
105168,1
101394,0
115476,2
124093,1
113912,1
113771,1
132248,0
119998,0
129376,1
103923,0
122820,0
105253,0
117078,0
123297,0
102612,7
125217,0
111577,1
113371,0
104095,2
116190,2
105103,0
